title,url
The shocking numbers behind the Lake Mead drought crisis,/2021/06/17/us/lake-mead-drought-water-shortage-climate/index.html
The West's historic drought in 3 maps,/2021/06/17/weather/west-california-drought-maps/index.html
An eighth of the US population is sweltering under a record-breaking heat dome. Climate change is making it worse,/2021/06/16/weather/west-heat-wave-records-drought-climate/index.html
"As people flee climate change on the coasts, this Midwest city is trying to become a safe haven",/2021/04/12/opinions/climate-migration-in-america-california-duluth-sutter/index.html
Exclusive: Companies face a financial risk from the climate crisis. States want them to reveal just how much,/2021/06/14/investing/climate-change-disclosure-sec-california/index.html
"High-elevation forests in the Rockies are burning more now than in the past 2,000 years",/2021/06/14/us/rocky-mountain-fires-getting-worse/index.html
"Flood risk is growing for US homeowners due to climate change. Current insurance rates greatly underestimate the threat, a new report finds",/2021/02/22/business/flood-insurance-climate-change-risk-first-street-foundation/index.html
Follow @CNNclimate on Instagram,https://www.instagram.com/cnnclimate/
The pandemic was the one chance we had,https://edition.cnn.com/interactive/2020/09/world/climate-covid-money-intl/
I am a CNN meteorologist. I used to be a climate crisis skeptic,/2019/09/04/weather/climate-change-skeptic/index.html
A marine biologist is using virtual reality to bring people closer to the ocean,/2021/02/18/world/erika-woolsey-vr-dive-hydrous-immerse-spc-intl/index.html
How NASA technology can help save whale sharks -- the world's largest fish,/2021/02/09/world/cte-brad-norman-whale-sharks-scn-spc-intl-hnk/index.html
Growing up wild: this photographer captures the beauty of Mexico's mountains,/travel/article/roberto-pedraza-ruiz-mexico-photography-c2e-hnk-spc-intl/index.html
We asked scientists to help answer your most pressing climate questions,https://www.cnn.com/interactive/2019/09/world/climate-questions-answered/index.html
Quiz: The most effective ways to curb climate change may surprise you,https://www.cnn.com/interactive/2019/04/specials/climate-change-solutions-quiz/index.html
The science behind the climate crisis,/2019/09/04/us/climate-change-science-101-basics/index.html
@CNNclimate on Instagram: What's working to create solutions and change habits,https://www.instagram.com/cnnclimate/
This is how the planet has changed over time,https://www.cnn.com/interactive/2019/09/world/climate-change-before-after/
Ice sheets are crumbling faster than we thought,/2019/07/10/world/antarctica-ice-sheet-sea-levels-trnd/index.html
London's climate will be as warm as Barcelona's by 2050,/2019/07/11/europe/climate-cities-report-intl-hnk/index.html
Sea temperatures are abnormally high in Alaska,/2019/06/28/us/alaska-sea-ice-wxc/index.html
What will your city's weather feel like in 60 years?,/2019/02/12/health/climate-change-cities-projected-temperatures-study/index.html
The teen schooling world leaders on climate change,https://www.greatbigstory.com/stories/the-brave-young-activist
Living big and eco-friendly in a small space,/videos/tv/2019/04/18/iyw-small-space-living.cnn
Greta Thunberg isn't alone. Meet some other young activists who are leading the environmentalist fight,/2019/09/28/world/youth-environment-activists-greta-thunberg-trnd/index.html
Climate activist: No gray area for survival,/videos/tv/2019/02/01/amanpour-greta-thunberg.cnn
#trashtag: Viral challenge sends internet on a garbage hunt,/2019/03/12/world/trashtag-internet-challenge-intl/index.html
Inspiration behind global protests,/videos/world/2019/03/15/greta-thunberg-climate-strike.cnn
The science behind the climate crisis,/2019/09/04/us/climate-change-science-101-basics/index.html
Don't believe these climate change lies,/videos/weather/2018/12/10/climate-change-myths-explainer-wx-ncc-orig-llr.cnn
Undeniable climate change facts (2018),/videos/weather/2018/01/18/nasa-climate-change-report-2018-gray-orig-js.cnn
The geographic guide to American climate confusion,https://www.cnn.com/2017/02/28/us/sutter-climate-opinion-maps/index.html
Effects of global warming around the world,/2014/09/24/world/gallery/climate-change-impact/index.html
These are the most climate-damaging foods,/2017/05/15/world/climate-damaging-foods/index.html
Your personal forecast,https://www.cnn.com/weather
Follow this season's major storms,https://www.cnn.com/interactive/storm-tracker/
2 degrees: Key to climate change,http://www.cnn.com/specials/opinions/two-degrees
Melting glaciers may someday flood your city,https://www.cnn.com/interactive/2017/11/world/greenland-global-warning/
Protecting the Antarctic,https://www.cnn.com/interactive/2018/06/world/antarctica/
Great Barrier Reef headed for 'massive death',https://www.cnn.com/interactive/2018/08/world/great-barrier-reef/
New generation of hungry locusts threatens millions,https://edition.cnn.com/interactive/2020/05/africa/locusts/
What it's like at the ground zero of climate change,https://www.cnn.com/interactive/2018/09/world/greenland-climate-change-cnnphotos/
